ID,Continent,Country,Energy_Type,Energy_Production,Year,Month,Income_Level,Area_Type,Implementation_Year,Is_Subsidized,Efficiency_Score
H01502,North America,USA,Hydro,0.6584135522898236,1.415652393807857,0.22643822964477553,Low,Urban,-1.0051259726941033,False,-1.6631970517955923
H02587,Australia,Australia,Geothermal,-0.37506156001044005,1.415652393807857,-0.20901990428748546,High,Rural,1.7645097236073102,False,-1.4323079951227602
H02654,North America,USA,Biomass,1.0238061787342694,1.415652393807857,1.5328126314415584,Low,Rural,0.2537993438065392,True,-1.0842617907103986
H01056,South America,Colombia,Biomass,-0.3281894535514958,1.415652393807857,1.0973544975092975,High,Urban,1.7645097236073102,False,1.5690400331257157
H00706,Africa,Egypt,Hydro,-1.1750582701985766,0.005640049377747369,1.0973544975092975,Middle,Rural,-1.5086960992943603,False,-1.2750965242002053
H00107,South America,Brazil,Biomass,-0.9329969798233673,0.005640049377747369,-1.0799361721520075,High,Urban,-1.256911035994232,False,-1.5900087858747762
H00590,Africa,Ghana,Geothermal,-0.524093878156351,-1.4043722950523623,1.5328126314415584,High,Rural,-1.0051259726941033,True,-1.5825990856000804
H02469,Australia,New Zealand,Geothermal,-0.019300841505675483,1.415652393807857,-0.20901990428748546,Low,Urban,1.0091545337069248,True,-0.848409632910176
H02414,South America,Peru,Biomass,-0.46639779594340824,-0.6993661228373075,0.6618963635770365,Low,Rural,1.2609395970070532,True,-0.3438509859030609
H01601,South America,Argentina,Geothermal,0.2013270695681142,0.7106462215928022,1.5328126314415584,High,Urban,0.7573694704067961,True,-0.980735695362998
H02465,Europe,Germany,Wind,-0.910681470339353,1.415652393807857,1.5328126314415584,Middle,Urban,0.5055844071066676,False,-0.4018004342778043
H00229,Europe,France,Hydro,1.30787593888601,0.7106462215928022,1.0973544975092975,Middle,Rural,-0.24977078279371787,True,0.4298335673076279
H00916,Asia,South Korea,Wind,-1.6860739008399868,-1.4043722950523623,0.22643822964477553,Middle,Rural,0.7573694704067961,True,1.3751295749935823
H00795,South America,Chile,Geothermal,0.5581129663931913,-0.6993661228373075,1.5328126314415584,Middle,Urban,1.2609395970070532,True,1.642857424541553
H03022,Africa,Ghana,Biomass,1.3880067373643983,-1.4043722950523623,-1.0799361721520075,Low,Rural,-1.0051259726941033,True,0.642408081792061
H03544,Africa,South Africa,Geothermal,-0.0069271775930651956,0.005640049377747369,1.0973544975092975,High,Rural,1.5127246603071818,False,0.9978639864791182
H01074,Asia,India,Wind,-0.05210654775567921,1.415652393807857,0.22643822964477553,Low,Urban,-1.5086960992943603,True,0.9077592350255064
H03352,Asia,Indonesia,Hydro,-0.4020022926140041,0.005640049377747369,-0.6444780382197465,High,Rural,-1.0051259726941033,True,-0.4665304574322222
H01745,Asia,China,Wind,-0.08016782410470127,0.005640049377747369,-0.6444780382197465,Low,Rural,0.7573694704067961,True,-0.5568449173841747
H01085,Europe,Spain,Solar,-1.0272657025795553,0.005640049377747369,-1.0799361721520075,High,Rural,-0.7533409093939749,False,1.6870360148586072
H00927,Australia,New Zealand,Solar,0.27070541636136347,1.415652393807857,-0.20901990428748546,Middle,Urban,1.0091545337069248,False,1.646702080344461
H03050,Africa,Ghana,Solar,1.2966228187188573,-1.4043722950523623,-1.5153943060842685,High,Rural,0.5055844071066676,False,-1.114459814471423
H01118,Europe,Italy,Hydro,-1.517896973596145,-0.6993661228373075,-0.20901990428748546,Middle,Urban,-1.5086960992943603,False,1.2051258856722602
